row_id,upi_id,username,handle,amount,hour,velocity,username_risk,handle_risk,fraud_type,label
0,sunita9088@paytm,sunita9088,paytm,1728.21,20,2,0.1,0,none,0
1,ganesh3125@ybl,ganesh3125,ybl,72.16,8,1,0.1,0,none,0
2,meena9112@pthdfc,meena9112,pthdfc,819.55,17,3,0.1111,0,none,0
3,mohan3420@pthdfc,mohan3420,pthdfc,1233.15,14,2,0.1111,0,none,0
4,rekha7983@ybl,rekha7983,ybl,1140.32,16,3,0.1111,0,none,0
5,8928970384@oksbi,8928970384,oksbi,116279.59,1,15,0.85,0,phone_as_upi,1
6,agent6249@ybl,agent6249,ybl,90361.38,2,6,0.5611,0,large_amount_night,1
7,priya4151@pthdfc,priya4151,pthdfc,2355.17,14,1,0.1111,0,none,0
8,nikhil8591@paytm,nikhil8591,paytm,957.7,16,1,0.1,0,none,0
9,lakshmi7171@okbizaxis,lakshmi7171,okbizaxis,440.5,7,3,0.0909,0,none,0
10,sita6630@okicici,sita6630,okicici,398.73,14,0,0.125,0,none,0
11,agent4225@ybl,agent4225,ybl,402547.39,2,7,0.5611,0,large_amount_night,1
12,nikhil2331@pthdfc,nikhil2331,pthdfc,1173.99,21,2,0.1,0,none,0
13,kvkj3kz28954pt9px@axl,kvkj3kz28954pt9px,axl,52638.08,19,4,0.3029,0,gibberish_username,1
14,divya7612@okhdfcbank,divya7612,okhdfcbank,122.09,21,2,0.1111,0,none,0
15,rohit155@axl,rohit155,axl,181.95,8,1,0.0938,0,none,0
16,ram1307@wahdfcbank,ram1307,wahdfcbank,234.07,17,0,0.1429,0,none,0
17,vikram1252@apl,vikram1252,apl,3526.13,18,2,0.1,0,none,0
18,ajay5446@wahdfcbank,ajay5446,wahdfcbank,93.58,8,3,0.125,0,none,0
19,pay1369@paytm,pay1369,paytm,4326.2,21,63,0.1429,0,high_velocity,1
20,agent1768@ybl,agent1768,ybl,102442.53,2,3,0.5611,0,large_amount_night,1
21,pooja4714@wahdfcbank,pooja4714,wahdfcbank,769.55,12,3,0.1111,0,none,0
22,pay431@okaxis,pay431,okaxis,2005.37,7,62,0.125,0,high_velocity,1
23,meena2138@ibl,meena2138,ibl,186.72,18,1,0.1111,0,none,0
24,savita5593@apl,savita5593,apl,2126.8,20,0,0.1,0,none,0
25,9221397592@oksbi,9221397592,oksbi,170395.39,17,9,0.85,0,phone_as_upi,1
26,mohan9033@apl,mohan9033,apl,586.6,13,1,0.1111,0,none,0
27,9825181289@okaxis,9825181289,okaxis,192026.9,17,18,0.85,0,phone_as_upi,1
28,ajay4649@wahdfcbank,ajay4649,wahdfcbank,523.26,20,3,0.125,0,none,0
29,deepak4592@cnrb,deepak4592,cnrb,1550.66,12,0,0.1,0,none,0
30,pooja6003@apl,pooja6003,apl,722.0,22,2,0.1111,0,none,0
31,raj9438@ybl,raj9438,ybl,500.89,19,1,0.1429,0,none,0
32,sunita8208@wahdfcbank,sunita8208,wahdfcbank,259.46,13,0,0.1,0,none,0
33,9041651663@oksbi,9041651663,oksbi,75885.32,9,26,0.85,0,phone_as_upi,1
34,ganesh6489@okhdfcbank,ganesh6489,okhdfcbank,4757.07,21,3,0.1,0,none,0
35,prize895@okicici,prize895,okicici,43623.05,15,3,0.5437,0,suspicious_keyword,1
36,swati6079@pthdfc,swati6079,pthdfc,488.41,20,0,0.1111,0,none,0
37,kiran9960@upi,kiran9960,upi,118.22,11,3,0.1111,0,none,0
38,nisha4816@okicici,nisha4816,okicici,1630.43,8,3,0.1111,0,none,0
39,neha9766@ybl,neha9766,ybl,5170.86,20,2,0.125,0,none,0
40,deepak5087@okicici,deepak5087,okicici,313.74,22,1,0.1,0,none,0
41,amit6697@okaxis,amit6697,okaxis,10.32,22,2,0.125,0,none,0
42,72t3116stn2h@okaxis,72t3116stn2h,okaxis,34690.61,6,0,0.3458,0,gibberish_username,1
43,raj5978@axl,raj5978,axl,4348.44,18,0,0.1429,0,none,0
44,agent9659@okicici,agent9659,okicici,425156.61,4,7,0.5611,0,large_amount_night,1
45,pooja664@pthdfc,pooja664,pthdfc,372.51,14,0,0.0938,0,none,0
46,kumar988@axl,kumar988,axl,1518.44,20,2,0.0938,0,none,0
47,ajay5645@apl,ajay5645,apl,2404.87,15,2,0.125,0,none,0
48,priya1284@okbizaxis,priya1284,okbizaxis,531.35,13,3,0.1111,0,none,0
49,agent6495@ybl,agent6495,ybl,448630.72,1,7,0.5611,0,large_amount_night,1
50,7312868163@okaxis,7312868163,okaxis,186864.74,19,22,0.85,0,phone_as_upi,1
51,agent2687@okaxis,agent2687,okaxis,371887.46,1,9,0.5611,0,large_amount_night,1
52,rekha1893@waicici,rekha1893,waicici,332.0,20,2,0.1111,0,none,0
53,pooja2818@paytm,pooja2818,paytm,4949.72,20,3,0.1111,0,none,0
54,bq8sjsymrhr230p@ibl,bq8sjsymrhr230p,ibl,28415.29,23,18,0.2667,0,gibberish_username,1
55,pay1174@okhdfcbank,pay1174,okhdfcbank,2816.07,14,36,0.1429,0,high_velocity,1
56,mohan7706@upi,mohan7706,upi,1041.14,17,3,0.1111,0,none,0
57,savita936@oksbi,savita936,oksbi,519.96,9,2,0.0833,0,none,0
58,jyoti5180@apl,jyoti5180,apl,256.74,9,2,0.1111,0,none,0
59,ganesh7743@paytm,ganesh7743,paytm,520.43,9,2,0.1,0,none,0
60,lakshmi5391@okbizaxis,lakshmi5391,okbizaxis,1220.0,20,0,0.0909,0,none,0
61,ram6656@wahdfcbank,ram6656,wahdfcbank,25000.0,22,1,0.1429,0,none,0
62,agent2329@okaxis,agent2329,okaxis,251100.56,0,8,0.5611,0,large_amount_night,1
63,uchwpmcinmg@schhwzto,uchwpmcinmg,schhwzto,6331.46,5,1,0.0,1,fake_handle,1
64,arun7082@okaxis,arun7082,okaxis,283.87,18,2,0.125,0,none,0
65,suresh7680@okicici,suresh7680,okicici,237.8,18,3,0.1,0,none,0
66,sita6057@paytm,sita6057,paytm,1790.26,19,3,0.125,0,none,0
67,ww1zy2s6@qgnzkv,ww1zy2s6,qgnzkv,30602.93,13,2,0.0938,1,fake_handle,1
68,ram4427@okhdfcbank,ram4427,okhdfcbank,69.9,20,3,0.1429,0,none,0
69,jyoti5086@paytm,jyoti5086,paytm,68.49,19,3,0.1111,0,none,0
70,7658903325@oksbi,7658903325,oksbi,76477.48,14,30,0.85,0,phone_as_upi,1
71,nikhil9123@okicici,nikhil9123,okicici,1397.44,10,0,0.1,0,none,0
72,agent2434@ybl,agent2434,ybl,200909.39,1,3,0.5611,0,large_amount_night,1
73,geeta4335@okaxis,geeta4335,okaxis,2290.89,12,2,0.1111,0,none,0
74,divya3641@apl,divya3641,apl,234.55,22,3,0.1111,0,none,0
75,agent5041@okhdfcbank,agent5041,okhdfcbank,309710.13,1,2,0.5611,0,large_amount_night,1
76,pay3103@okaxis,pay3103,okaxis,2461.73,0,36,0.1429,0,high_velocity,1
77,agent1378@okaxis,agent1378,okaxis,348107.24,4,8,0.5611,0,large_amount_night,1
78,hod7e6e7zad@mwrxugaeq,hod7e6e7zad,mwrxugaeq,15590.13,0,0,0.0682,1,fake_handle,1
79,lucky832@paytm,lucky832,paytm,3222.48,11,17,0.5437,0,suspicious_keyword,1
80,agent5305@okaxis,agent5305,okaxis,106980.2,4,5,0.5611,0,large_amount_night,1
81,hjmj4c8fz86vbmx9s@axl,hjmj4c8fz86vbmx9s,axl,45238.75,11,15,0.2735,0,gibberish_username,1
82,pay1748@okaxis,pay1748,okaxis,1906.64,18,48,0.1429,0,high_velocity,1
83,anita142@oksbi,anita142,oksbi,796.45,11,3,0.0938,0,none,0
84,verify293@okaxis,verify293,okaxis,67112.82,10,2,0.5333,0,suspicious_keyword,1
85,bonus136@paytm,bonus136,paytm,44869.61,18,7,0.5437,0,suspicious_keyword,1
86,nikhil7425@axl,nikhil7425,axl,497.96,19,2,0.1,0,none,0
87,savita2913@paytm,savita2913,paytm,401.63,16,2,0.1,0,none,0
88,neha9228@axl,neha9228,axl,373.48,17,2,0.125,0,none,0
89,rohit9795@oksbi,rohit9795,oksbi,444.44,21,2,0.1111,0,none,0
90,u73fqyeetpi@pzwb,u73fqyeetpi,pzwb,25412.36,1,8,0.0455,1,fake_handle,1
91,anita7419@cnrb,anita7419,cnrb,208.6,14,1,0.1111,0,none,0
92,kyc846@oksbi,kyc846,oksbi,45556.35,16,18,0.575,0,suspicious_keyword,1
93,priya594@okaxis,priya594,okaxis,6399.26,21,3,0.0938,0,none,0
94,raj2820@apl,raj2820,apl,2694.5,22,3,0.1429,0,none,0
95,ajay4034@wahdfcbank,ajay4034,wahdfcbank,678.08,11,3,0.125,0,none,0
96,deepak9866@upi,deepak9866,upi,781.14,13,2,0.1,0,none,0
97,swati9889@upi,swati9889,upi,1171.51,10,2,0.1111,0,none,0
98,timo0o1szz@nqdr,timo0o1szz,nqdr,25714.32,13,16,0.05,1,fake_handle,1
99,jyoti6205@okicici,jyoti6205,okicici,3155.51,11,1,0.1111,0,none,0
100,savita540@okbizaxis,savita540,okbizaxis,135.54,17,1,0.0833,0,none,0
101,rekha308@axl,rekha308,axl,2093.01,22,0,0.0938,0,none,0
102,arun6053@pthdfc,arun6053,pthdfc,138.99,11,3,0.125,0,none,0
103,sunita4805@ybl,sunita4805,ybl,91.58,10,0,0.1,0,none,0
104,nisha6514@oksbi,nisha6514,oksbi,876.24,12,3,0.1111,0,none,0
105,vikram6732@ibl,vikram6732,ibl,1167.87,20,3,0.1,0,none,0
106,priya4400@ybl,priya4400,ybl,555.58,17,3,0.1111,0,none,0
107,ganesh2876@waicici,ganesh2876,waicici,4463.32,15,0,0.1,0,none,0
108,rahul2568@okbizaxis,rahul2568,okbizaxis,2573.01,11,0,0.1111,0,none,0
109,support641@okicici,support641,okicici,35348.94,19,8,0.525,0,suspicious_keyword,1
110,refund281@okicici,refund281,okicici,45309.43,12,4,0.5333,0,suspicious_keyword,1
111,arun4438@okbizaxis,arun4438,okbizaxis,13247.97,11,3,0.125,0,none,0
112,pay886@okhdfcbank,pay886,okhdfcbank,2887.88,0,31,0.125,0,high_velocity,1
113,kyc270@okicici,kyc270,okicici,17772.82,8,20,0.575,0,suspicious_keyword,1
114,rahul2867@cnrb,rahul2867,cnrb,1852.8,13,2,0.1111,0,none,0
115,w24g6ubr6@jzykw,w24g6ubr6,jzykw,23899.06,19,2,0.1111,1,fake_handle,1
116,pooja3994@ibl,pooja3994,ibl,674.26,19,1,0.1111,0,none,0
